class_1,class_2,pair_balanced_accuracy,pair_f1,pair_auc,balanced_accuracy_Isolate_A,balanced_accuracy_Isolate_B,AUC_Isolate_A,AUC_Isolate_B,F1_Isolate_A,F1_Isolate_B
a12,a16,0.9835,0.9834985107405942,0.9977063333333334,0.9835,0.9835,0.9977063333333334,0.9977063333333335,0.9836552748885586,0.98334174659263
a12,a43,0.9368333333333334,0.9368161315251411,0.9825327777777778,0.9368333333333334,0.9368333333333334,0.9825327777777777,0.9825327777777779,0.9378586653549762,0.9357735976953059
a12,a56,0.8293333333333333,0.8293310387839659,0.9151634444444443,0.8293333333333333,0.8293333333333333,0.9151634444444443,0.9151634444444444,0.8287052525928404,0.8299568249750914
a16,a43,0.9576666666666667,0.9576467841847979,0.989260888888889,0.9576666666666667,0.9576666666666667,0.989260888888889,0.9892608888888889,0.9567291311754685,0.9585644371941272
a16,a56,0.995,0.9949999799999201,0.9995687777777778,0.995,0.995,0.9995687777777778,0.9995687777777778,0.9949899799599199,0.9950099800399201
a43,a56,0.9358333333333333,0.9358045719983823,0.9843905555555554,0.9358333333333333,0.9358333333333333,0.9843905555555554,0.9843905555555555,0.9344457687723481,0.9371633752244165
