Round,Temp,Day,Date,Well,Sample,isolate_A,isolate_B,count_A,count_B,isolate_A_mono_counts,isolate_B_mono_counts,N,model_dir,summed_proba_A,summed_proba_B,Community,filename
round4,10C,d03,03.08.2026,F9,Sample69,a43,a56,12362,7755,6932,104302,20117,a43_vs_a56,12474.516141363845,7642.483858636136,18,round4_10C_d03_03.08.2026_F9_Sample69.csv
round4,10C,d03,03.08.2026,D12,Sample48,a16,a43,5107,6804,30132,6932,11911,a16_vs_a43,5506.935240514899,6404.064759485112,11,round4_10C_d03_03.08.2026_D12_Sample48.csv
round4,10C,d03,03.08.2026,E3,Sample51,a16,a43,1769,4798,30132,6932,6567,a16_vs_a43,1962.9114115631246,4604.088588436869,12,round4_10C_d03_03.08.2026_E3_Sample51.csv
round4,10C,d03,03.08.2026,D3,Sample39,a12,a56,64679,35374,44759,104302,100053,a12_vs_a56,64728.14910944964,35324.85089055037,8,round4_10C_d03_03.08.2026_D3_Sample39.csv
round4,10C,d03,03.08.2026,E9,Sample57,a16,a56,35502,26491,30132,104302,61993,a16_vs_a56,35987.8262516147,26005.17374838568,14,round4_10C_d03_03.08.2026_E9_Sample57.csv
round4,10C,d03,03.08.2026,B6,Sample18,a12,a16,36497,15890,44759,30132,52387,a12_vs_a16,35312.62708864809,17074.372911352162,1,round4_10C_d03_03.08.2026_B6_Sample18.csv
round4,10C,d03,03.08.2026,C12,Sample36,a12,a56,74361,13013,44759,104302,87374,a12_vs_a56,72233.70062222294,15140.299377777053,7,round4_10C_d03_03.08.2026_C12_Sample36.csv
round4,10C,d03,03.08.2026,E12,Sample60,a16,a56,37693,80404,30132,104302,118097,a16_vs_a56,39028.54254367734,79068.45745632141,15,round4_10C_d03_03.08.2026_E12_Sample60.csv
round4,10C,d03,03.08.2026,C3,Sample27,a12,a43,8545,6777,44759,6932,15322,a12_vs_a43,7828.626250552226,7493.373749447782,4,round4_10C_d03_03.08.2026_C3_Sample27.csv
round4,10C,d03,03.08.2026,D9,Sample45,a16,a43,12899,6141,30132,6932,19040,a16_vs_a43,13045.00290286637,5994.997097133656,10,round4_10C_d03_03.08.2026_D9_Sample45.csv
round4,10C,d03,03.08.2026,D6,Sample42,a12,a56,44536,45221,44759,104302,89757,a12_vs_a56,46474.24048514047,43282.75951485953,9,round4_10C_d03_03.08.2026_D6_Sample42.csv
