Round,Temp,Day,Date,Well,Sample,isolate_A,isolate_B,count_A,count_B,isolate_A_mono_counts,isolate_B_mono_counts,N,model_dir,summed_proba_A,summed_proba_B,Community,filename
round1,20C,d02,11.03.2026,B2,Sample14,06,32,39223,15656,47152,269962,54879,06_vs_32,39682.60730054238,15196.392699457623,s05,round1_20C_d02_11.03.2026_B2_Sample14.csv
round1,20C,d02,11.03.2026,F1,Sample61,20,43,16895,46730,17229,2394,63625,20_vs_43,18683.599392549087,44941.400607450785,s21,round1_20C_d02_11.03.2026_F1_Sample61.csv
round1,20C,d02,11.03.2026,C5,Sample29,12,23,16447,104684,70375,129371,121131,12_vs_23,20141.5439616192,100989.45603838086,s10,round1_20C_d02_11.03.2026_C5_Sample29.csv
round1,20C,d02,11.03.2026,E2,Sample50,16,43,97395,31939,76702,2394,129334,16_vs_43,97136.65059828246,32197.349401719497,s17,round1_20C_d02_11.03.2026_E2_Sample50.csv
round1,20C,d02,11.03.2026,C1,Sample25,12,20,103133,26808,70375,17229,129941,12_vs_20,97281.11488192578,32659.885118071878,s09,round1_20C_d02_11.03.2026_C1_Sample25.csv
round1,20C,d02,11.03.2026,F8,Sample68,23,32,93159,111418,129371,269962,204577,23_vs_32,98738.52032371185,105838.47967628838,s23,round1_20C_d02_11.03.2026_F8_Sample68.csv
round1,20C,d02,11.03.2026,F7,Sample67,23,32,119431,77097,129371,269962,196528,23_vs_32,113075.79546977842,83452.20453022275,s23,round1_20C_d02_11.03.2026_F7_Sample67.csv
round1,20C,d02,11.03.2026,B1,Sample13,06,32,36445,14707,47152,269962,51152,06_vs_32,37006.132446661504,14145.867553338492,s05,round1_20C_d02_11.03.2026_B1_Sample13.csv
round1,20C,d02,11.03.2026,A11,Sample11,06,23,20624,15357,47152,129371,35981,06_vs_23,21482.035155514455,14498.964844485396,s04,round1_20C_d02_11.03.2026_A11_Sample11.csv
round1,20C,d02,11.03.2026,A4,Sample4,06,16,25975,4451,47152,76702,30426,06_vs_16,24521.84885339678,5904.151146603112,s02,round1_20C_d02_11.03.2026_A4_Sample4.csv
round1,20C,d02,11.03.2026,C8,Sample32,12,32,8024,212950,70375,269962,220974,12_vs_32,14722.422452490626,206251.57754749816,s11,round1_20C_d02_11.03.2026_C8_Sample32.csv
round1,20C,d07,16.03.2026,E10,Sample58,20,32,10589,147140,12339,98522,157729,20_vs_32,14569.542029586133,143159.45797041466,s20,round1_20C_d07_16.03.2026_E10_Sample58.csv
round1,20C,d07,16.03.2026,B2,Sample14,06,32,11402,249,14234,98522,11651,06_vs_32,11385.786753549513,265.21324645048605,s05,round1_20C_d07_16.03.2026_B2_Sample14.csv
round1,20C,d07,16.03.2026,F11,Sample71,23,43,101793,24457,30513,500,126250,23_vs_43,93901.46973166607,32348.530268334845,s24,round1_20C_d07_16.03.2026_F11_Sample71.csv
round1,20C,d07,16.03.2026,F4,Sample64,20,56,10518,2035,12339,567,12553,20_vs_56,10121.216572992256,2431.783427007743,s22,round1_20C_d07_16.03.2026_F4_Sample64.csv
round1,20C,d07,16.03.2026,G4,Sample76,32,43,19999,9070,98522,500,29069,32_vs_43,18544.58272133361,10524.41727866639,s26,round1_20C_d07_16.03.2026_G4_Sample76.csv
round1,20C,d07,16.03.2026,B3,Sample15,06,32,9910,147,14234,98522,10057,06_vs_32,9874.93766961979,182.0623303802092,s05,round1_20C_d07_16.03.2026_B3_Sample15.csv
round1,20C,d07,16.03.2026,E11,Sample59,20,32,13033,202267,12339,98522,215300,20_vs_32,18876.092702245962,196423.90729775422,s20,round1_20C_d07_16.03.2026_E11_Sample59.csv
round1,20C,d07,16.03.2026,E8,Sample56,20,23,4264,42882,12339,30513,47146,20_vs_23,5033.610836535992,42112.389163464,s19,round1_20C_d07_16.03.2026_E8_Sample56.csv
round1,20C,d07,16.03.2026,G3,Sample75,23,56,27225,3225,30513,567,30450,23_vs_56,24403.023346007387,6046.9766539926295,s25,round1_20C_d07_16.03.2026_G3_Sample75.csv
round1,20C,d07,16.03.2026,G12,Sample84,43,56,31559,37097,500,567,68656,43_vs_56,33238.15908459917,35417.840915401015,s28,round1_20C_d07_16.03.2026_G12_Sample84.csv
round1,20C,d07,16.03.2026,D9,Sample45,16,23,78616,29469,110613,30513,108085,16_vs_23,76421.02092953723,31663.979070463192,s15,round1_20C_d07_16.03.2026_D9_Sample45.csv
round1,20C,d07,16.03.2026,D2,Sample38,12,56,54839,4933,44761,567,59772,12_vs_56,52489.50138325448,7282.498616745519,s13,round1_20C_d07_16.03.2026_D2_Sample38.csv
round1,20C,d07,16.03.2026,B6,Sample18,06,43,8900,505,14234,500,9405,06_vs_43,8882.946998919695,522.053001080304,s06,round1_20C_d07_16.03.2026_B6_Sample18.csv
round1,20C,d07,16.03.2026,E9,Sample57,20,23,2013,26215,12339,30513,28228,20_vs_23,2536.3772696734272,25691.622730326573,s19,round1_20C_d07_16.03.2026_E9_Sample57.csv
round1,20C,d07,16.03.2026,G2,Sample74,23,56,3673,943,30513,567,4616,23_vs_56,3417.8845075918734,1198.1154924081234,s25,round1_20C_d07_16.03.2026_G2_Sample74.csv
round1,20C,d07,16.03.2026,F6,Sample66,20,56,6379,1212,12339,567,7591,20_vs_56,6109.437530366389,1481.5624696336117,s22,round1_20C_d07_16.03.2026_F6_Sample66.csv
round1,20C,d07,16.03.2026,E7,Sample55,20,23,48,102,12339,30513,150,20_vs_23,52.33719457438901,97.662805425611,s19,round1_20C_d07_16.03.2026_E7_Sample55.csv
round1,20C,d07,16.03.2026,D11,Sample47,16,32,89150,9007,110613,98522,98157,16_vs_32,87829.62655894786,10327.373441052365,s16,round1_20C_d07_16.03.2026_D11_Sample47.csv
round1,20C,d07,16.03.2026,A6,Sample6,06,20,4989,131,14234,12339,5120,06_vs_20,4887.280573455585,232.71942654442321,s03,round1_20C_d07_16.03.2026_A6_Sample6.csv
round1,20C,d07,16.03.2026,F3,Sample63,20,43,141532,70330,12339,500,211862,20_vs_43,127159.40760436856,84702.5923956326,s21,round1_20C_d07_16.03.2026_F3_Sample63.csv
round1,20C,d07,16.03.2026,G9,Sample81,32,56,5888,445,98522,567,6333,32_vs_56,5599.635309537492,733.3646904625084,s27,round1_20C_d07_16.03.2026_G9_Sample81.csv
round1,20C,d07,16.03.2026,E4,Sample52,16,56,74295,13650,110613,567,87945,16_vs_56,70702.31538700507,17242.68461299491,s18,round1_20C_d07_16.03.2026_E4_Sample52.csv
round1,20C,d07,16.03.2026,F12,Sample72,23,43,89342,22794,30513,500,112136,23_vs_43,82107.43979699192,30028.560203008303,s24,round1_20C_d07_16.03.2026_F12_Sample72.csv
round1,20C,d07,16.03.2026,C11,Sample35,12,43,17069,7380,44761,500,24449,12_vs_43,16032.170988938358,8416.829011061547,s12,round1_20C_d07_16.03.2026_C11_Sample35.csv
round1,20C,d07,16.03.2026,G1,Sample73,23,56,57361,12268,30513,567,69629,23_vs_56,52130.40241052452,17498.597589475732,s25,round1_20C_d07_16.03.2026_G1_Sample73.csv
round1,20C,d07,16.03.2026,F8,Sample68,23,32,85839,82319,30513,98522,168158,23_vs_32,85992.28647665122,82165.71352334903,s23,round1_20C_d07_16.03.2026_F8_Sample68.csv
round1,20C,d07,16.03.2026,E2,Sample50,16,43,60971,15879,110613,500,76850,16_vs_43,55732.085092892856,21117.914907107635,s17,round1_20C_d07_16.03.2026_E2_Sample50.csv
round1,20C,d07,16.03.2026,D10,Sample46,16,32,6071,1419,110613,98522,7490,16_vs_32,5914.552071837968,1575.4479281620493,s16,round1_20C_d07_16.03.2026_D10_Sample46.csv
round1,20C,d07,16.03.2026,B10,Sample22,12,16,17293,74613,44761,110613,91906,12_vs_16,26694.685373901906,65211.31462609696,s08,round1_20C_d07_16.03.2026_B10_Sample22.csv
round1,20C,d07,16.03.2026,A9,Sample9,06,20,8857,204,14234,12339,9061,06_vs_20,8700.250145913977,360.7498540860191,s03,round1_20C_d07_16.03.2026_A9_Sample9.csv
round1,20C,d07,16.03.2026,E6,Sample54,16,56,61796,4276,110613,567,66072,16_vs_56,59139.539423471826,6932.46057652817,s18,round1_20C_d07_16.03.2026_E6_Sample54.csv
round1,20C,d07,16.03.2026,D3,Sample39,12,56,72138,5853,44761,567,77991,12_vs_56,68906.8408209211,9084.159179078893,s13,round1_20C_d07_16.03.2026_D3_Sample39.csv
round1,20C,d07,16.03.2026,C12,Sample36,12,43,24363,9151,44761,500,33514,12_vs_43,22626.613005216477,10887.386994783548,s12,round1_20C_d07_16.03.2026_C12_Sample36.csv
round1,20C,d07,16.03.2026,D6,Sample42,16,20,81863,12796,110613,12339,94659,16_vs_20,76526.65074925643,18132.34925074302,s14,round1_20C_d07_16.03.2026_D6_Sample42.csv
round1,20C,d07,16.03.2026,A3,Sample3,06,12,5385,512,14234,44761,5897,06_vs_12,4913.498204691683,983.5017953083167,s01,round1_20C_d07_16.03.2026_A3_Sample3.csv
round1,20C,d07,16.03.2026,C6,Sample30,12,23,2817,14648,44761,30513,17465,12_vs_23,3590.315144082023,13874.684855918027,s10,round1_20C_d07_16.03.2026_C6_Sample30.csv
round1,20C,d07,16.03.2026,G10,Sample82,43,56,30297,40462,500,567,70759,43_vs_56,32141.829443448936,38617.17055655139,s28,round1_20C_d07_16.03.2026_G10_Sample82.csv
round1,20C,d07,16.03.2026,B7,Sample19,06,56,102,81,14234,567,183,06_vs_56,117.02255397235962,65.97744602764038,s07,round1_20C_d07_16.03.2026_B7_Sample19.csv
round1,20C,d07,16.03.2026,B9,Sample21,06,56,10712,421,14234,567,11133,06_vs_56,10579.950926072672,553.0490739273279,s07,round1_20C_d07_16.03.2026_B9_Sample21.csv
round1,20C,d07,16.03.2026,C2,Sample26,12,20,24914,4526,44761,12339,29440,12_vs_20,23425.53051827655,6014.46948172351,s09,round1_20C_d07_16.03.2026_C2_Sample26.csv
round1,20C,d07,16.03.2026,B1,Sample13,06,32,11021,87,14234,98522,11108,06_vs_32,11000.690246060794,107.30975393920386,s05,round1_20C_d07_16.03.2026_B1_Sample13.csv
round1,20C,d07,16.03.2026,A11,Sample11,06,23,4683,1949,14234,30513,6632,06_vs_23,4699.046286020604,1932.9537139793972,s04,round1_20C_d07_16.03.2026_A11_Sample11.csv
round1,20C,d07,16.03.2026,C5,Sample29,12,23,1797,11842,44761,30513,13639,12_vs_23,2620.156766027682,11018.843233972366,s10,round1_20C_d07_16.03.2026_C5_Sample29.csv
round1,20C,d07,16.03.2026,A1,Sample1,06,12,10343,803,14234,44761,11146,06_vs_12,9539.521252789284,1606.478747210716,s01,round1_20C_d07_16.03.2026_A1_Sample1.csv
round1,20C,d07,16.03.2026,A10,Sample10,06,23,4713,1798,14234,30513,6511,06_vs_23,4723.030657334723,1787.9693426653023,s04,round1_20C_d07_16.03.2026_A10_Sample10.csv
round1,20C,d07,16.03.2026,F1,Sample61,20,43,62464,32587,12339,500,95051,20_vs_43,55764.80958163572,39286.19041836464,s21,round1_20C_d07_16.03.2026_F1_Sample61.csv
round1,20C,d07,16.03.2026,G7,Sample79,32,56,420,71,98522,567,491,32_vs_56,392.28813407952197,98.71186592047803,s27,round1_20C_d07_16.03.2026_G7_Sample79.csv
round1,20C,d07,16.03.2026,C4,Sample28,12,23,46492,268349,44761,30513,314841,12_vs_23,66012.905827469,248828.09417253014,s10,round1_20C_d07_16.03.2026_C4_Sample28.csv
round1,20C,d07,16.03.2026,C8,Sample32,12,32,17731,113436,44761,98522,131167,12_vs_32,26171.01170716235,104995.9882928499,s11,round1_20C_d07_16.03.2026_C8_Sample32.csv
round1,20C,d07,16.03.2026,G5,Sample77,32,43,8297,1213,98522,500,9510,32_vs_43,7819.249757749007,1690.7502422509908,s26,round1_20C_d07_16.03.2026_G5_Sample77.csv
round1,20C,d07,16.03.2026,C3,Sample27,12,20,13325,2372,44761,12339,15697,12_vs_20,12783.541281863167,2913.4587181368383,s09,round1_20C_d07_16.03.2026_C3_Sample27.csv
round1,20C,d07,16.03.2026,G8,Sample80,32,56,4629,406,98522,567,5035,32_vs_56,4357.82708228523,677.17291771477,s27,round1_20C_d07_16.03.2026_G8_Sample80.csv
round1,20C,d07,16.03.2026,E12,Sample60,20,32,10167,142923,12339,98522,153090,20_vs_32,13965.942609670517,139124.0573903302,s20,round1_20C_d07_16.03.2026_E12_Sample60.csv
round1,20C,d07,16.03.2026,D8,Sample44,16,23,55462,26193,110613,30513,81655,16_vs_23,53477.905455869695,28177.094544129544,s15,round1_20C_d07_16.03.2026_D8_Sample44.csv
round1,20C,d07,16.03.2026,C9,Sample33,12,32,474,3612,44761,98522,4086,12_vs_32,741.3621098913571,3344.637890108644,s11,round1_20C_d07_16.03.2026_C9_Sample33.csv
round1,20C,d07,16.03.2026,B5,Sample17,06,43,10108,327,14234,500,10435,06_vs_43,10069.342051304335,365.6579486956645,s06,round1_20C_d07_16.03.2026_B5_Sample17.csv
round1,20C,d07,16.03.2026,F10,Sample70,23,43,20303,5900,30513,500,26203,23_vs_43,18716.990168135362,7486.009831864733,s24,round1_20C_d07_16.03.2026_F10_Sample70.csv
round1,20C,d07,16.03.2026,C10,Sample34,12,43,17888,7578,44761,500,25466,12_vs_43,16720.137771300197,8745.862228699767,s12,round1_20C_d07_16.03.2026_C10_Sample34.csv
round1,20C,d07,16.03.2026,C1,Sample25,12,20,17218,3450,44761,12339,20668,12_vs_20,16631.450691324382,4036.5493086755987,s09,round1_20C_d07_16.03.2026_C1_Sample25.csv
round1,20C,d07,16.03.2026,A5,Sample5,06,16,10860,229,14234,110613,11089,06_vs_16,10697.062191798623,391.937808201331,s02,round1_20C_d07_16.03.2026_A5_Sample5.csv
