Round,Temp,Day,Date,Well,Sample,isolate_A,isolate_B,count_A,count_B,isolate_A_mono_counts,isolate_B_mono_counts,N,model_dir,summed_proba_A,summed_proba_B,Community,filename
round1,20C,d02,11.03.2026,A2,Sample2,06,12,43992,12960,47152,70375,56952,06_vs_12,38666.478182058054,18285.521817941946,s01,round1_20C_d02_11.03.2026_A2_Sample2.csv
round1,20C,d02,11.03.2026,F4,Sample64,20,56,15992,1555,17229,73920,17547,20_vs_56,15134.750993928596,2412.2490060714053,s22,round1_20C_d02_11.03.2026_F4_Sample64.csv
round1,20C,d02,11.03.2026,A10,Sample10,06,23,113759,176388,47152,129371,290147,06_vs_23,126644.55350692924,163502.4464930694,s04,round1_20C_d02_11.03.2026_A10_Sample10.csv
round1,20C,d02,11.03.2026,D12,Sample48,16,32,86554,27705,76702,269962,114259,16_vs_32,86310.63351791032,27948.366482091475,s16,round1_20C_d02_11.03.2026_D12_Sample48.csv
round1,20C,d02,11.03.2026,B5,Sample17,06,43,33736,9475,47152,2394,43211,06_vs_43,31356.830724027324,11854.169275972676,s06,round1_20C_d02_11.03.2026_B5_Sample17.csv
round1,20C,d02,11.03.2026,G12,Sample84,43,56,71363,7368,2394,73920,78731,43_vs_56,67797.6491447729,10933.350855227245,s28,round1_20C_d02_11.03.2026_G12_Sample84.csv
round1,20C,d02,11.03.2026,F12,Sample72,23,43,310121,90596,129371,2394,400717,23_vs_43,287284.18564153754,113432.81435845875,s24,round1_20C_d02_11.03.2026_F12_Sample72.csv
round1,20C,d02,11.03.2026,B7,Sample19,06,56,29079,32204,47152,73920,61283,06_vs_56,31929.810656642192,29353.189343357808,s07,round1_20C_d02_11.03.2026_B7_Sample19.csv
round1,20C,d02,11.03.2026,D2,Sample38,12,56,93865,5459,70375,73920,99324,12_vs_56,89532.4555869189,9791.544413081094,s13,round1_20C_d02_11.03.2026_D2_Sample38.csv
round1,20C,d02,11.03.2026,E6,Sample54,16,56,90914,2275,76702,73920,93189,16_vs_56,89313.28370964987,3875.716290350136,s18,round1_20C_d02_11.03.2026_E6_Sample54.csv
round1,20C,d02,11.03.2026,A6,Sample6,06,20,26308,7027,47152,17229,33335,06_vs_20,23615.16777518785,9719.832224812213,s03,round1_20C_d02_11.03.2026_A6_Sample6.csv
round1,20C,d02,11.03.2026,D11,Sample47,16,32,106402,33333,76702,269962,139735,16_vs_32,106497.91031438459,33237.089685618696,s16,round1_20C_d02_11.03.2026_D11_Sample47.csv
round1,20C,d02,11.03.2026,D8,Sample44,16,23,68746,55267,76702,129371,124013,16_vs_23,68237.63502386284,55775.36497613762,s15,round1_20C_d02_11.03.2026_D8_Sample44.csv
round1,20C,d02,11.03.2026,G3,Sample75,23,56,93193,3973,129371,73920,97166,23_vs_56,83747.59257173704,13418.407428263388,s25,round1_20C_d02_11.03.2026_G3_Sample75.csv
round1,20C,d02,11.03.2026,E8,Sample56,20,23,28556,202699,17229,129371,231255,20_vs_23,31002.170750573314,200252.82924942666,s19,round1_20C_d02_11.03.2026_E8_Sample56.csv
round1,20C,d02,11.03.2026,A3,Sample3,06,12,24342,7295,47152,70375,31637,06_vs_12,21403.30498531919,10233.695014680805,s01,round1_20C_d02_11.03.2026_A3_Sample3.csv
round1,20C,d02,11.03.2026,B11,Sample23,12,16,14244,98308,70375,76702,112552,12_vs_16,20736.73639258896,91815.26360741329,s08,round1_20C_d02_11.03.2026_B11_Sample23.csv
round1,20C,d02,11.03.2026,F9,Sample69,23,32,99736,82549,129371,269962,182285,23_vs_32,98065.33779222242,84219.66220777931,s23,round1_20C_d02_11.03.2026_F9_Sample69.csv
round1,20C,d02,11.03.2026,D4,Sample40,16,20,132107,18275,76702,17229,150382,16_vs_20,123698.57931644643,26683.42068355309,s14,round1_20C_d02_11.03.2026_D4_Sample40.csv
round1,20C,d02,11.03.2026,F10,Sample70,23,43,318784,80406,129371,2394,399190,23_vs_43,293866.3512807304,105323.64871926671,s24,round1_20C_d02_11.03.2026_F10_Sample70.csv
round1,20C,d02,11.03.2026,F3,Sample63,20,43,15452,27021,17229,2394,42473,20_vs_43,16460.13187724048,26012.86812275956,s21,round1_20C_d02_11.03.2026_F3_Sample63.csv
round1,20C,d02,11.03.2026,C11,Sample35,12,43,32243,77926,70375,2394,110169,12_vs_43,36472.810773311736,73696.18922668674,s12,round1_20C_d02_11.03.2026_C11_Sample35.csv
round1,20C,d02,11.03.2026,C6,Sample30,12,23,15248,95655,70375,129371,110903,12_vs_23,18555.671517566057,92347.3284824356,s10,round1_20C_d02_11.03.2026_C6_Sample30.csv
round1,20C,d02,11.03.2026,A8,Sample8,06,20,27861,9626,47152,17229,37487,06_vs_20,25243.06262764362,12243.937372356506,s03,round1_20C_d02_11.03.2026_A8_Sample8.csv
round1,20C,d02,11.03.2026,E10,Sample58,20,32,36725,271615,17229,269962,308340,20_vs_32,39809.505536602795,268530.49446339504,s20,round1_20C_d02_11.03.2026_E10_Sample58.csv
round1,20C,d02,11.03.2026,G2,Sample74,23,56,113693,6337,129371,73920,120030,23_vs_56,101587.34040658499,18442.65959341498,s25,round1_20C_d02_11.03.2026_G2_Sample74.csv
round1,20C,d02,11.03.2026,B6,Sample18,06,43,34193,10418,47152,2394,44611,06_vs_43,31679.69401027888,12931.30598972112,s06,round1_20C_d02_11.03.2026_B6_Sample18.csv
round1,20C,d02,11.03.2026,D6,Sample42,16,20,117192,17470,76702,17229,134662,16_vs_20,109391.0548426983,25270.94515730143,s14,round1_20C_d02_11.03.2026_D6_Sample42.csv
round1,20C,d02,11.03.2026,C2,Sample26,12,20,116153,31032,70375,17229,147185,12_vs_20,109968.64092539644,37216.3590746042,s09,round1_20C_d02_11.03.2026_C2_Sample26.csv
round1,20C,d02,11.03.2026,G1,Sample73,23,56,123541,6117,129371,73920,129658,23_vs_56,111058.2688864235,18599.731113575508,s25,round1_20C_d02_11.03.2026_G1_Sample73.csv
round1,20C,d02,11.03.2026,B9,Sample21,06,56,20484,19880,47152,73920,40364,06_vs_56,21791.58238778628,18572.41761221372,s07,round1_20C_d02_11.03.2026_B9_Sample21.csv
round1,20C,d02,11.03.2026,C3,Sample27,12,20,83331,21299,70375,17229,104630,12_vs_20,78751.57652311049,25878.423476889802,s09,round1_20C_d02_11.03.2026_C3_Sample27.csv
round1,20C,d02,11.03.2026,E9,Sample57,20,23,22711,130949,17229,129371,153660,20_vs_23,24176.623578705334,129483.37642129467,s19,round1_20C_d02_11.03.2026_E9_Sample57.csv
round1,20C,d02,11.03.2026,B10,Sample22,12,16,13996,109615,70375,76702,123611,12_vs_16,20322.69058534721,103288.30941465523,s08,round1_20C_d02_11.03.2026_B10_Sample22.csv
round1,20C,d02,11.03.2026,C10,Sample34,12,43,44630,71091,70375,2394,115721,12_vs_43,47856.65750462671,67864.34249537338,s12,round1_20C_d02_11.03.2026_C10_Sample34.csv
round1,20C,d02,11.03.2026,D10,Sample46,16,32,108523,29138,76702,269962,137661,16_vs_32,108173.56414438951,29487.43585561317,s16,round1_20C_d02_11.03.2026_D10_Sample46.csv
round1,20C,d02,11.03.2026,A7,Sample7,06,20,30498,8091,47152,17229,38589,06_vs_20,27270.883322503825,11318.116677496022,s03,round1_20C_d02_11.03.2026_A7_Sample7.csv
round1,20C,d02,11.03.2026,B3,Sample15,06,32,30656,12936,47152,269962,43592,06_vs_32,31119.548539166757,12472.451460833245,s05,round1_20C_d02_11.03.2026_B3_Sample15.csv
round1,20C,d02,11.03.2026,E5,Sample53,16,56,84416,3282,76702,73920,87698,16_vs_56,82868.58517805178,4829.414821948215,s18,round1_20C_d02_11.03.2026_E5_Sample53.csv
round1,20C,d02,11.03.2026,E4,Sample52,16,56,97276,2057,76702,73920,99333,16_vs_56,95742.9094723675,3590.0905276324984,s18,round1_20C_d02_11.03.2026_E4_Sample52.csv
round1,20C,d02,11.03.2026,G5,Sample77,32,43,178965,65838,269962,2394,244803,32_vs_43,171048.00987281514,73754.99012718114,s26,round1_20C_d02_11.03.2026_G5_Sample77.csv
round1,20C,d02,11.03.2026,C9,Sample33,12,32,7815,202889,70375,269962,210704,12_vs_32,15099.8612551978,195604.13874479977,s11,round1_20C_d02_11.03.2026_C9_Sample33.csv
round1,20C,d02,11.03.2026,G6,Sample78,32,43,170071,59357,269962,2394,229428,32_vs_43,163259.31153689927,66168.68846309998,s26,round1_20C_d02_11.03.2026_G6_Sample78.csv
round1,20C,d02,11.03.2026,D7,Sample43,16,23,60997,48244,76702,129371,109241,16_vs_23,60481.729276778555,48759.27072322172,s15,round1_20C_d02_11.03.2026_D7_Sample43.csv
round1,20C,d02,11.03.2026,A12,Sample12,06,23,28278,20421,47152,129371,48699,06_vs_23,29434.52465098401,19264.475349015887,s04,round1_20C_d02_11.03.2026_A12_Sample12.csv
round1,20C,d02,11.03.2026,D1,Sample37,12,56,70278,5921,70375,73920,76199,12_vs_56,66637.58178908219,9561.418210917811,s13,round1_20C_d02_11.03.2026_D1_Sample37.csv
round1,20C,d02,11.03.2026,B8,Sample20,06,56,28934,31142,47152,73920,60076,06_vs_56,31369.15996263618,28706.84003736382,s07,round1_20C_d02_11.03.2026_B8_Sample20.csv
round1,20C,d02,11.03.2026,G10,Sample82,43,56,68162,8450,2394,73920,76612,43_vs_56,64622.98286373239,11989.0171362676,s28,round1_20C_d02_11.03.2026_G10_Sample82.csv
round1,20C,d02,11.03.2026,D3,Sample39,12,56,68573,4566,70375,73920,73139,12_vs_56,65195.569126090166,7943.430873909833,s13,round1_20C_d02_11.03.2026_D3_Sample39.csv
round1,20C,d02,11.03.2026,B4,Sample16,06,43,36905,10452,47152,2394,47357,06_vs_43,34247.79381710276,13109.206182897236,s06,round1_20C_d02_11.03.2026_B4_Sample16.csv
round1,20C,d02,11.03.2026,E12,Sample60,20,32,39800,298830,17229,269962,338630,20_vs_32,44556.50773068212,294073.49226931576,s20,round1_20C_d02_11.03.2026_E12_Sample60.csv
round1,20C,d02,11.03.2026,G7,Sample79,32,56,227072,10119,269962,73920,237191,32_vs_56,207446.5500098135,29744.449990186506,s27,round1_20C_d02_11.03.2026_G7_Sample79.csv
round1,20C,d02,11.03.2026,F2,Sample62,20,43,23210,45344,17229,2394,68554,20_vs_43,25194.404409430663,43359.595590570265,s21,round1_20C_d02_11.03.2026_F2_Sample62.csv
round1,20C,d02,11.03.2026,G9,Sample81,32,56,213644,10917,269962,73920,224561,32_vs_56,194013.7706214469,30547.22937855309,s27,round1_20C_d02_11.03.2026_G9_Sample81.csv
round1,20C,d02,11.03.2026,G4,Sample76,32,43,149060,54162,269962,2394,203222,32_vs_43,139300.52085541104,63921.47914458574,s26,round1_20C_d02_11.03.2026_G4_Sample76.csv
round1,20C,d02,11.03.2026,C7,Sample31,12,32,8741,202245,70375,269962,210986,12_vs_32,17491.105282327662,193494.89471767057,s11,round1_20C_d02_11.03.2026_C7_Sample31.csv
round1,20C,d02,11.03.2026,G11,Sample83,43,56,56055,7455,2394,73920,63510,43_vs_56,53030.8871943256,10479.112805674658,s28,round1_20C_d02_11.03.2026_G11_Sample83.csv
round1,20C,d02,11.03.2026,A9,Sample9,06,20,17734,7069,47152,17229,24803,06_vs_20,16303.662731848368,8499.337268151558,s03,round1_20C_d02_11.03.2026_A9_Sample9.csv
round1,20C,d02,11.03.2026,D5,Sample41,16,20,94490,15767,76702,17229,110257,16_vs_20,88360.77095123066,21896.229048767833,s14,round1_20C_d02_11.03.2026_D5_Sample41.csv
round1,20C,d02,11.03.2026,F6,Sample66,20,56,13207,1163,17229,73920,14370,20_vs_56,12483.185450515779,1886.8145494842202,s22,round1_20C_d02_11.03.2026_F6_Sample66.csv
round1,20C,d02,11.03.2026,E1,Sample49,16,43,79001,24429,76702,2394,103430,16_vs_43,79019.51737763436,24410.482622367024,s17,round1_20C_d02_11.03.2026_E1_Sample49.csv
round1,20C,d02,11.03.2026,D9,Sample45,16,23,68436,52522,76702,129371,120958,16_vs_23,67976.71861797679,52981.28138202323,s15,round1_20C_d02_11.03.2026_D9_Sample45.csv
round1,20C,d02,11.03.2026,C12,Sample36,12,43,31051,59553,70375,2394,90604,12_vs_43,33967.98447452214,56636.015525478135,s12,round1_20C_d02_11.03.2026_C12_Sample36.csv
round1,20C,d02,11.03.2026,G8,Sample80,32,56,233006,10726,269962,73920,243732,32_vs_56,212425.16469013394,31306.835309866074,s27,round1_20C_d02_11.03.2026_G8_Sample80.csv
round1,20C,d02,11.03.2026,A5,Sample5,06,16,24442,3768,47152,76702,28210,06_vs_16,23039.84377832848,5170.156221671364,s02,round1_20C_d02_11.03.2026_A5_Sample5.csv
round1,20C,d02,11.03.2026,F5,Sample65,20,56,12831,1076,17229,73920,13907,20_vs_56,12171.284882951113,1735.7151170488878,s22,round1_20C_d02_11.03.2026_F5_Sample65.csv
round1,20C,d02,11.03.2026,E11,Sample59,20,32,37173,291481,17229,269962,328654,20_vs_32,41199.066719477894,287454.93328051805,s20,round1_20C_d02_11.03.2026_E11_Sample59.csv
round1,20C,d02,11.03.2026,F11,Sample71,23,43,211718,78276,129371,2394,289994,23_vs_43,195070.39537565433,94923.6046243445,s24,round1_20C_d02_11.03.2026_F11_Sample71.csv
round1,20C,d02,11.03.2026,C4,Sample28,12,23,19163,103952,70375,129371,123115,12_vs_23,22864.60781384626,100250.3921861524,s10,round1_20C_d02_11.03.2026_C4_Sample28.csv
round1,20C,d02,11.03.2026,E7,Sample55,20,23,220075,1027908,17229,129371,1247983,20_vs_23,249489.5522485952,998493.447751405,s19,round1_20C_d02_11.03.2026_E7_Sample55.csv
round1,20C,d02,11.03.2026,E3,Sample51,16,43,65000,20501,76702,2394,85501,16_vs_43,65085.72555841097,20415.27444158968,s17,round1_20C_d02_11.03.2026_E3_Sample51.csv
round1,20C,d02,11.03.2026,B12,Sample24,12,16,11229,93220,70375,76702,104449,12_vs_16,16789.592245060598,87659.4077549413,s08,round1_20C_d02_11.03.2026_B12_Sample24.csv
round1,20C,d02,11.03.2026,A1,Sample1,06,12,37479,12096,47152,70375,49575,06_vs_12,32749.642732549768,16825.357267450232,s01,round1_20C_d02_11.03.2026_A1_Sample1.csv
