isolate_A,isolate_B,count_A,count_B,N,p_A,se_p_A,se_count_A,se_count_B,model_dir,Round,Temp,Day,Date,Well,Sample,Community,filename,filepath
16,23,3331,131,3462,0.9621606008087811,0.003242891130264159,11.226889092974519,11.226889092974519,16_vs_23,round1,10C,d02,11.03.2026,D8,Sample44,s15,round1_10C_d02_11.03.2026_D8_Sample44.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_D8_Sample44.csv
43,56,10382,27923,38305,0.27103511290954185,0.0022711109458433106,86.99490478052802,86.99490478052802,43_vs_56,round1,10C,d02,11.03.2026,G10,Sample82,s28,round1_10C_d02_11.03.2026_G10_Sample82.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_G10_Sample82.csv
16,20,589,10,599,0.9833055091819699,0.005235008772868933,3.135770254948491,3.135770254948491,16_vs_20,round1,10C,d02,11.03.2026,D6,Sample42,s14,round1_10C_d02_11.03.2026_D6_Sample42.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_D6_Sample42.csv
20,23,482,96,578,0.8339100346020761,0.015479872454167752,8.94736627850896,8.94736627850896,20_vs_23,round1,10C,d02,11.03.2026,E8,Sample56,s19,round1_10C_d02_11.03.2026_E8_Sample56.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_E8_Sample56.csv
20,32,129,144,273,0.4725274725274725,0.030215663176975556,8.248876047314328,8.248876047314328,20_vs_32,round1,10C,d02,11.03.2026,E11,Sample59,s20,round1_10C_d02_11.03.2026_E11_Sample59.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_E11_Sample59.csv
32,43,237,3145,3382,0.0700768775872265,0.004389591366396405,14.845598001152643,14.845598001152643,32_vs_43,round1,10C,d02,11.03.2026,G5,Sample77,s26,round1_10C_d02_11.03.2026_G5_Sample77.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_G5_Sample77.csv
20,23,651,192,843,0.7722419928825622,0.014444407986397302,12.176635932532925,12.176635932532925,20_vs_23,round1,10C,d02,11.03.2026,E7,Sample55,s19,round1_10C_d02_11.03.2026_E7_Sample55.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_E7_Sample55.csv
23,43,195,3063,3258,0.05985267034990792,0.004155891341555453,13.539893990787666,13.539893990787666,23_vs_43,round1,10C,d02,11.03.2026,F10,Sample70,s24,round1_10C_d02_11.03.2026_F10_Sample70.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_F10_Sample70.csv
12,16,563,5447,6010,0.09367720465890184,0.0037585573131064753,22.588929451769918,22.588929451769918,12_vs_16,round1,10C,d02,11.03.2026,B10,Sample22,s08,round1_10C_d02_11.03.2026_B10_Sample22.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_B10_Sample22.csv
16,43,2304,1149,3453,0.6672458731537794,0.008018744654282912,27.688725291238896,27.688725291238896,16_vs_43,round1,10C,d02,11.03.2026,E2,Sample50,s17,round1_10C_d02_11.03.2026_E2_Sample50.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_E2_Sample50.csv
23,43,142,1767,1909,0.07438449449973808,0.006005560609863243,11.46461520422893,11.46461520422893,23_vs_43,round1,10C,d02,11.03.2026,F11,Sample71,s24,round1_10C_d02_11.03.2026_F11_Sample71.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_F11_Sample71.csv
12,20,318,313,631,0.5039619651347068,0.019904060812260888,12.55946237253662,12.55946237253662,12_vs_20,round1,10C,d02,11.03.2026,C3,Sample27,s09,round1_10C_d02_11.03.2026_C3_Sample27.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_C3_Sample27.csv
06,20,1335,178,1513,0.8823529411764706,0.008283087363305084,12.532311180680592,12.532311180680592,06_vs_20,round1,10C,d02,11.03.2026,A8,Sample8,s03,round1_10C_d02_11.03.2026_A8_Sample8.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_A8_Sample8.csv
16,23,3577,76,3653,0.9791951820421572,0.002361520706213621,8.626635139798358,8.626635139798358,16_vs_23,round1,10C,d02,11.03.2026,D9,Sample45,s15,round1_10C_d02_11.03.2026_D9_Sample45.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_D9_Sample45.csv
20,56,543,8859,9402,0.057753669432035734,0.002405813155434348,22.619455287393738,22.619455287393738,20_vs_56,round1,10C,d02,11.03.2026,F6,Sample66,s22,round1_10C_d02_11.03.2026_F6_Sample66.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_F6_Sample66.csv
06,43,645,2527,3172,0.20334174022698612,0.00714632413090812,22.668140143240556,22.668140143240556,06_vs_43,round1,10C,d02,11.03.2026,B4,Sample16,s06,round1_10C_d02_11.03.2026_B4_Sample16.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_B4_Sample16.csv
06,20,1035,171,1206,0.8582089552238806,0.010044938182111147,12.114195447626043,12.114195447626043,06_vs_20,round1,10C,d02,11.03.2026,A9,Sample9,s03,round1_10C_d02_11.03.2026_A9_Sample9.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_A9_Sample9.csv
23,56,423,6474,6897,0.06133101348412353,0.002889124068218964,19.926288698506195,19.926288698506195,23_vs_56,round1,10C,d02,11.03.2026,G2,Sample74,s25,round1_10C_d02_11.03.2026_G2_Sample74.csv,../data/round01/round1_10C_d02_11.03.2026/round1_10C_d02_11.03.2026_G2_Sample74.csv
