isolate_A,isolate_B,count_A,count_B,N,p_A,se_p_A,se_count_A,se_count_B,model_dir,Round,Temp,Day,Date,Well,Sample,Community,filename,filepath
16,32,108420,29241,137661,0.787586898250049,0.0011023878850370545,151.75581864208596,151.75581864208596,16_vs_32,round1,20C,d02,11.03.2026,D10,Sample46,s16,round1_20C_d02_11.03.2026_D10_Sample46.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D10_Sample46.csv
06,20,28452,10137,38589,0.7373085594340356,0.002240349820365638,86.4528592180896,86.4528592180896,06_vs_20,round1,20C,d02,11.03.2026,A7,Sample7,s03,round1_20C_d02_11.03.2026_A7_Sample7.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A7_Sample7.csv
06,32,29951,13641,43592,0.6870756102037071,0.0022208466716858596,96.81114811212998,96.81114811212998,06_vs_32,round1,20C,d02,11.03.2026,B3,Sample15,s05,round1_20C_d02_11.03.2026_B3_Sample15.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B3_Sample15.csv
16,56,83934,3764,87698,0.9570799790189057,0.0006843987913687462,60.0204052054563,60.0204052054563,16_vs_56,round1,20C,d02,11.03.2026,E5,Sample53,s18,round1_20C_d02_11.03.2026_E5_Sample53.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E5_Sample53.csv
16,56,96866,2467,99333,0.9751643461890812,0.0004937759462107848,49.04824606495588,49.04824606495588,16_vs_56,round1,20C,d02,11.03.2026,E4,Sample52,s18,round1_20C_d02_11.03.2026_E4_Sample52.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E4_Sample52.csv
32,43,179088,65715,244803,0.7315596622590409,0.0008956542598603332,219.25884977658916,219.25884977658916,32_vs_43,round1,20C,d02,11.03.2026,G5,Sample77,s26,round1_20C_d02_11.03.2026_G5_Sample77.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G5_Sample77.csv
12,32,7960,202744,210704,0.03777811527071152,0.0004153568418659551,87.51734800852421,87.51734800852421,12_vs_32,round1,20C,d02,11.03.2026,C9,Sample33,s11,round1_20C_d02_11.03.2026_C9_Sample33.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C9_Sample33.csv
32,43,170201,59227,229428,0.7418492947678574,0.0009136319789982836,209.61275767761822,209.61275767761822,32_vs_43,round1,20C,d02,11.03.2026,G6,Sample78,s26,round1_20C_d02_11.03.2026_G6_Sample78.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G6_Sample78.csv
16,23,60771,48470,109241,0.5563021209985262,0.0015031634275484607,164.2070759888214,164.2070759888214,16_vs_23,round1,20C,d02,11.03.2026,D7,Sample43,s15,round1_20C_d02_11.03.2026_D7_Sample43.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D7_Sample43.csv
06,23,28523,20176,48699,0.585699911702499,0.0022322101086412506,108.70640008072026,108.70640008072026,06_vs_23,round1,20C,d02,11.03.2026,A12,Sample12,s04,round1_20C_d02_11.03.2026_A12_Sample12.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A12_Sample12.csv
12,56,69781,6418,76199,0.9157731728762845,0.0010061078625548702,76.66441301881855,76.66441301881855,12_vs_56,round1,20C,d02,11.03.2026,D1,Sample37,s13,round1_20C_d02_11.03.2026_D1_Sample37.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D1_Sample37.csv
06,56,27695,32381,60076,0.46099940075903856,0.00203373470663259,122.17864623565947,122.17864623565947,06_vs_56,round1,20C,d02,11.03.2026,B8,Sample20,s07,round1_20C_d02_11.03.2026_B8_Sample20.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B8_Sample20.csv
43,56,68093,8519,76612,0.8888033206286221,0.0011357960222404242,87.01560485588338,87.01560485588338,43_vs_56,round1,20C,d02,11.03.2026,G10,Sample82,s28,round1_20C_d02_11.03.2026_G10_Sample82.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G10_Sample82.csv
12,56,68187,4952,73139,0.932293304529731,0.0009290039969795836,67.94642333508976,67.94642333508976,12_vs_56,round1,20C,d02,11.03.2026,D3,Sample39,s13,round1_20C_d02_11.03.2026_D3_Sample39.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D3_Sample39.csv
06,43,37196,10161,47357,0.7854382667821019,0.0018864272931754416,89.33553732290939,89.33553732290939,06_vs_43,round1,20C,d02,11.03.2026,B4,Sample16,s06,round1_20C_d02_11.03.2026_B4_Sample16.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B4_Sample16.csv
20,32,39810,298820,338630,0.1175619407613029,0.0005534938167219148,187.429611156542,187.429611156542,20_vs_32,round1,20C,d02,11.03.2026,E12,Sample60,s20,round1_20C_d02_11.03.2026_E12_Sample60.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E12_Sample60.csv
32,56,225818,11373,237191,0.9520513004287684,0.0004387018731845935,104.05613600252691,104.05613600252691,32_vs_56,round1,20C,d02,11.03.2026,G7,Sample79,s27,round1_20C_d02_11.03.2026_G7_Sample79.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G7_Sample79.csv
20,43,23206,45348,68554,0.3385068704962511,0.001807299018384723,123.8975769063463,123.8975769063463,20_vs_43,round1,20C,d02,11.03.2026,F2,Sample62,s21,round1_20C_d02_11.03.2026_F2_Sample62.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F2_Sample62.csv
32,56,212214,12347,224561,0.9450171668277216,0.00048102343951573535,108.01910460109305,108.01910460109305,32_vs_56,round1,20C,d02,11.03.2026,G9,Sample81,s27,round1_20C_d02_11.03.2026_G9_Sample81.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G9_Sample81.csv
32,43,149500,53722,203222,0.735648699451831,0.0009782291517381164,198.79768467452348,198.79768467452348,32_vs_43,round1,20C,d02,11.03.2026,G4,Sample76,s26,round1_20C_d02_11.03.2026_G4_Sample76.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G4_Sample76.csv
12,32,8934,202052,210986,0.04234404178476297,0.00043840358107025265,92.49701795568832,92.49701795568832,12_vs_32,round1,20C,d02,11.03.2026,C7,Sample31,s11,round1_20C_d02_11.03.2026_C7_Sample31.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C7_Sample31.csv
43,56,55850,7660,63510,0.8793890725869942,0.0012922983934828922,82.07387097009848,82.07387097009848,43_vs_56,round1,20C,d02,11.03.2026,G11,Sample83,s28,round1_20C_d02_11.03.2026_G11_Sample83.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G11_Sample83.csv
06,20,16295,8508,24803,0.6569769785912994,0.0030142870179127876,74.76336090529087,74.76336090529087,06_vs_20,round1,20C,d02,11.03.2026,A9,Sample9,s03,round1_20C_d02_11.03.2026_A9_Sample9.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A9_Sample9.csv
16,20,94650,15607,110257,0.8584488966686923,0.001049810149201058,115.74891762046104,115.74891762046104,16_vs_20,round1,20C,d02,11.03.2026,D5,Sample41,s14,round1_20C_d02_11.03.2026_D5_Sample41.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D5_Sample41.csv
20,56,13080,1290,14370,0.9102296450939458,0.002384589212490059,34.266546983482144,34.266546983482144,20_vs_56,round1,20C,d02,11.03.2026,F6,Sample66,s22,round1_20C_d02_11.03.2026_F6_Sample66.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F6_Sample66.csv
16,43,78732,24698,103430,0.7612104805182249,0.0013256740284750097,137.11446476517025,137.11446476517025,16_vs_43,round1,20C,d02,11.03.2026,E1,Sample49,s17,round1_20C_d02_11.03.2026_E1_Sample49.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E1_Sample49.csv
16,23,68221,52737,120958,0.5640056879247342,0.0014258205015097508,172.46439622161643,172.46439622161643,16_vs_23,round1,20C,d02,11.03.2026,D9,Sample45,s15,round1_20C_d02_11.03.2026_D9_Sample45.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_D9_Sample45.csv
12,43,30846,59758,90604,0.3404485453180875,0.0015742597690531265,142.63423211528948,142.63423211528948,12_vs_43,round1,20C,d02,11.03.2026,C12,Sample36,s12,round1_20C_d02_11.03.2026_C12_Sample36.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C12_Sample36.csv
32,56,231463,12269,243732,0.9496619237523182,0.0004428702871554561,107.94166082897362,107.94166082897362,32_vs_56,round1,20C,d02,11.03.2026,G8,Sample80,s27,round1_20C_d02_11.03.2026_G8_Sample80.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_G8_Sample80.csv
06,16,24442,3768,28210,0.8664303438496986,0.002025439091446138,57.137636769695554,57.137636769695554,06_vs_16,round1,20C,d02,11.03.2026,A5,Sample5,s02,round1_20C_d02_11.03.2026_A5_Sample5.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A5_Sample5.csv
20,56,12682,1225,13907,0.9119148630186237,0.002403320753730472,33.42298172212968,33.42298172212968,20_vs_56,round1,20C,d02,11.03.2026,F5,Sample65,s22,round1_20C_d02_11.03.2026_F5_Sample65.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F5_Sample65.csv
20,32,37140,291514,328654,0.11300638361316157,0.000552258328942048,181.50190884011985,181.50190884011985,20_vs_32,round1,20C,d02,11.03.2026,E11,Sample59,s20,round1_20C_d02_11.03.2026_E11_Sample59.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E11_Sample59.csv
23,43,211118,78876,289994,0.7280081656861866,0.0008263262553280571,239.62965608760462,239.62965608760462,23_vs_43,round1,20C,d02,11.03.2026,F11,Sample71,s24,round1_20C_d02_11.03.2026_F11_Sample71.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F11_Sample71.csv
12,23,19191,103924,123115,0.15587865004264306,0.0010338089215091856,127.27738537160339,127.27738537160339,12_vs_23,round1,20C,d02,11.03.2026,C4,Sample28,s10,round1_20C_d02_11.03.2026_C4_Sample28.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C4_Sample28.csv
20,23,221496,1026487,1247983,0.17748318687033396,0.0003420161914007261,426.8303925928524,426.8303925928524,20_vs_23,round1,20C,d02,11.03.2026,E7,Sample55,s19,round1_20C_d02_11.03.2026_E7_Sample55.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E7_Sample55.csv
16,43,64816,20685,85501,0.7580730049940937,0.001464576577369629,125.22276194168066,125.22276194168066,16_vs_43,round1,20C,d02,11.03.2026,E3,Sample51,s17,round1_20C_d02_11.03.2026_E3_Sample51.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E3_Sample51.csv
12,16,11688,92761,104449,0.11190150216852243,0.0009754306161831476,101.88275242971358,101.88275242971358,12_vs_16,round1,20C,d02,11.03.2026,B12,Sample24,s08,round1_20C_d02_11.03.2026_B12_Sample24.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B12_Sample24.csv
06,12,36008,13567,49575,0.726333837619768,0.0020023838236644317,99.26817805816421,99.26817805816421,06_vs_12,round1,20C,d02,11.03.2026,A1,Sample1,s01,round1_20C_d02_11.03.2026_A1_Sample1.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A1_Sample1.csv
06,32,38306,16573,54879,0.6980083456331201,0.001959858350516363,107.55506641798749,107.55506641798749,06_vs_32,round1,20C,d02,11.03.2026,B2,Sample14,s05,round1_20C_d02_11.03.2026_B2_Sample14.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B2_Sample14.csv
20,43,16870,46755,63625,0.26514734774066795,0.0017499670801360907,111.34165547365878,111.34165547365878,20_vs_43,round1,20C,d02,11.03.2026,F1,Sample61,s21,round1_20C_d02_11.03.2026_F1_Sample61.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F1_Sample61.csv
12,23,16488,104643,121131,0.13611709636674343,0.0009852719672033355,119.34697865930723,119.34697865930723,12_vs_23,round1,20C,d02,11.03.2026,C5,Sample29,s10,round1_20C_d02_11.03.2026_C5_Sample29.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C5_Sample29.csv
16,43,97127,32207,129334,0.7509780877418157,0.001202475010486943,155.5209030063183,155.5209030063183,16_vs_43,round1,20C,d02,11.03.2026,E2,Sample50,s17,round1_20C_d02_11.03.2026_E2_Sample50.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_E2_Sample50.csv
12,20,105173,24768,129941,0.8093904156501797,0.0010896280973795049,141.58736460159025,141.58736460159025,12_vs_20,round1,20C,d02,11.03.2026,C1,Sample25,s09,round1_20C_d02_11.03.2026_C1_Sample25.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C1_Sample25.csv
23,32,101056,103521,204577,0.49397537357571963,0.001105376106629564,226.13452776595634,226.13452776595634,23_vs_32,round1,20C,d02,11.03.2026,F8,Sample68,s23,round1_20C_d02_11.03.2026_F8_Sample68.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F8_Sample68.csv
23,32,128242,68286,196528,0.6525380607343483,0.0010740990348214986,211.09053511539946,211.09053511539946,23_vs_32,round1,20C,d02,11.03.2026,F7,Sample67,s23,round1_20C_d02_11.03.2026_F7_Sample67.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_F7_Sample67.csv
06,32,35018,16134,51152,0.6845871129183609,0.002054578632218243,105.09580619522757,105.09580619522757,06_vs_32,round1,20C,d02,11.03.2026,B1,Sample13,s05,round1_20C_d02_11.03.2026_B1_Sample13.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_B1_Sample13.csv
06,23,21025,14956,35981,0.5843361774269753,0.0025981599655971036,93.48439372214939,93.48439372214939,06_vs_23,round1,20C,d02,11.03.2026,A11,Sample11,s04,round1_20C_d02_11.03.2026_A11_Sample11.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A11_Sample11.csv
06,16,26017,4409,30426,0.855091040557418,0.0020180474173853843,61.4011107213677,61.4011107213677,06_vs_16,round1,20C,d02,11.03.2026,A4,Sample4,s02,round1_20C_d02_11.03.2026_A4_Sample4.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_A4_Sample4.csv
12,32,8120,212854,220974,0.03674640455438196,0.00040022771258461487,88.43991856067268,88.43991856067268,12_vs_32,round1,20C,d02,11.03.2026,C8,Sample32,s11,round1_20C_d02_11.03.2026_C8_Sample32.csv,../data/round01/round1_20C_d02_11.03.2026/round1_20C_d02_11.03.2026_C8_Sample32.csv
20,32,10436,147293,157729,0.0661641169347425,0.0006258795537586477,98.71935613479775,98.71935613479775,20_vs_32,round1,20C,d07,16.03.2026,E10,Sample58,s20,round1_20C_d07_16.03.2026_E10_Sample58.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E10_Sample58.csv
06,32,11397,254,11651,0.9781992961977513,0.0013529050848330444,15.7626971433898,15.7626971433898,06_vs_32,round1,20C,d07,16.03.2026,B2,Sample14,s05,round1_20C_d07_16.03.2026_B2_Sample14.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B2_Sample14.csv
23,43,99477,26773,126250,0.7879366336633663,0.0011504368347929335,145.24265039260786,145.24265039260786,23_vs_43,round1,20C,d07,16.03.2026,F11,Sample71,s24,round1_20C_d07_16.03.2026_F11_Sample71.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F11_Sample71.csv
20,56,10696,1857,12553,0.8520672349239226,0.0031688038405768273,39.77799461076091,39.77799461076091,20_vs_56,round1,20C,d07,16.03.2026,F4,Sample64,s22,round1_20C_d07_16.03.2026_F4_Sample64.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F4_Sample64.csv
32,43,19928,9141,29069,0.6855412982902749,0.0027232253041695304,79.16143636690408,79.16143636690408,32_vs_43,round1,20C,d07,16.03.2026,G4,Sample76,s26,round1_20C_d07_16.03.2026_G4_Sample76.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G4_Sample76.csv
06,32,9893,164,10057,0.9836929501839515,0.00126294155542202,12.701403222879255,12.701403222879255,06_vs_32,round1,20C,d07,16.03.2026,B3,Sample15,s05,round1_20C_d07_16.03.2026_B3_Sample15.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B3_Sample15.csv
20,32,12718,202582,215300,0.0590710636321412,0.0005080936798682923,109.39256927564334,109.39256927564334,20_vs_32,round1,20C,d07,16.03.2026,E11,Sample59,s20,round1_20C_d07_16.03.2026_E11_Sample59.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E11_Sample59.csv
20,23,4241,42905,47146,0.08995460908666696,0.001317712942543445,62.124894389153255,62.124894389153255,20_vs_23,round1,20C,d07,16.03.2026,E8,Sample56,s19,round1_20C_d07_16.03.2026_E8_Sample56.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E8_Sample56.csv
23,56,26853,3597,30450,0.881871921182266,0.0018496334861948663,56.32133965463368,56.32133965463368,23_vs_56,round1,20C,d07,16.03.2026,G3,Sample75,s25,round1_20C_d07_16.03.2026_G3_Sample75.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G3_Sample75.csv
43,56,36326,32330,68656,0.5291016080167793,0.0019049952443085914,130.78935349325064,130.78935349325064,43_vs_56,round1,20C,d07,16.03.2026,G12,Sample84,s28,round1_20C_d07_16.03.2026_G12_Sample84.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G12_Sample84.csv
16,23,78634,29451,108085,0.7275200074015821,0.001354275639782037,146.37688252584147,146.37688252584147,16_vs_23,round1,20C,d07,16.03.2026,D9,Sample45,s15,round1_20C_d07_16.03.2026_D9_Sample45.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D9_Sample45.csv
12,56,54818,4954,59772,0.9171183831894533,0.0011276982662039602,67.40478076754312,67.40478076754312,12_vs_56,round1,20C,d07,16.03.2026,D2,Sample38,s13,round1_20C_d07_16.03.2026_D2_Sample38.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D2_Sample38.csv
06,43,8900,505,9405,0.9463051568314726,0.002324355180557351,21.860560473141884,21.860560473141884,06_vs_43,round1,20C,d07,16.03.2026,B6,Sample18,s06,round1_20C_d07_16.03.2026_B6_Sample18.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B6_Sample18.csv
20,23,2009,26219,28228,0.07117046903783478,0.0015303045411355683,43.19743658717482,43.19743658717482,20_vs_23,round1,20C,d07,16.03.2026,E9,Sample57,s19,round1_20C_d07_16.03.2026_E9_Sample57.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E9_Sample57.csv
23,56,3535,1081,4616,0.7658145580589255,0.00623316833602189,28.772305039077043,28.772305039077043,23_vs_56,round1,20C,d07,16.03.2026,G2,Sample74,s25,round1_20C_d07_16.03.2026_G2_Sample74.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G2_Sample74.csv
20,56,6487,1104,7591,0.8545646159926228,0.004046299250136815,30.71545760778856,30.71545760778856,20_vs_56,round1,20C,d07,16.03.2026,F6,Sample66,s22,round1_20C_d07_16.03.2026_F6_Sample66.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F6_Sample66.csv
20,23,49,101,150,0.32666666666666666,0.038293215722505866,5.74398235837588,5.74398235837588,20_vs_23,round1,20C,d07,16.03.2026,E7,Sample55,s19,round1_20C_d07_16.03.2026_E7_Sample55.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E7_Sample55.csv
16,32,88523,9634,98157,0.9018511160691545,0.0009496191588732295,93.2117677775196,93.2117677775196,16_vs_32,round1,20C,d07,16.03.2026,D11,Sample47,s16,round1_20C_d07_16.03.2026_D11_Sample47.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D11_Sample47.csv
06,20,4965,155,5120,0.9697265625,0.002394531386905934,12.260000700958383,12.260000700958383,06_vs_20,round1,20C,d07,16.03.2026,A6,Sample6,s03,round1_20C_d07_16.03.2026_A6_Sample6.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_A6_Sample6.csv
20,43,119399,92463,211862,0.5635696821515892,0.0010774688742982961,228.27471064658562,228.27471064658562,20_vs_43,round1,20C,d07,16.03.2026,F3,Sample63,s21,round1_20C_d07_16.03.2026_F3_Sample63.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F3_Sample63.csv
32,56,5876,457,6333,0.9278383072793305,0.0032515075108904643,20.59179706646931,20.59179706646931,32_vs_56,round1,20C,d07,16.03.2026,G9,Sample81,s27,round1_20C_d07_16.03.2026_G9_Sample81.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G9_Sample81.csv
16,56,72868,15077,87945,0.8285633066120871,0.0012708935113621782,111.76872985674676,111.76872985674676,16_vs_56,round1,20C,d07,16.03.2026,E4,Sample52,s18,round1_20C_d07_16.03.2026_E4_Sample52.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E4_Sample52.csv
23,43,87102,25034,112136,0.7767532282228722,0.0012435452617307447,139.4461914694388,139.4461914694388,23_vs_43,round1,20C,d07,16.03.2026,F12,Sample72,s24,round1_20C_d07_16.03.2026_F12_Sample72.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F12_Sample72.csv
12,43,17109,7340,24449,0.6997832222176776,0.002931356860900003,71.66874389214418,71.66874389214418,12_vs_43,round1,20C,d07,16.03.2026,C11,Sample35,s12,round1_20C_d07_16.03.2026_C11_Sample35.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_C11_Sample35.csv
23,56,55114,14515,69629,0.7915380085883755,0.001539409807483602,107.18756548527573,107.18756548527573,23_vs_56,round1,20C,d07,16.03.2026,G1,Sample73,s25,round1_20C_d07_16.03.2026_G1_Sample73.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G1_Sample73.csv
23,32,92975,75183,168158,0.5529026272910001,0.0012124577644104268,203.88447274772855,203.88447274772855,23_vs_32,round1,20C,d07,16.03.2026,F8,Sample68,s23,round1_20C_d07_16.03.2026_F8_Sample68.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_F8_Sample68.csv
16,43,60665,16185,76850,0.78939492517892,0.0014708204008878922,113.03254780823451,113.03254780823451,16_vs_43,round1,20C,d07,16.03.2026,E2,Sample50,s17,round1_20C_d07_16.03.2026_E2_Sample50.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E2_Sample50.csv
16,32,6016,1474,7490,0.8032042723631508,0.0045938829883493066,34.40818358273631,34.40818358273631,16_vs_32,round1,20C,d07,16.03.2026,D10,Sample46,s16,round1_20C_d07_16.03.2026_D10_Sample46.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D10_Sample46.csv
12,16,17498,74408,91906,0.1903901812721694,0.0012950550344873752,119.0233279995967,119.0233279995967,12_vs_16,round1,20C,d07,16.03.2026,B10,Sample22,s08,round1_20C_d07_16.03.2026_B10_Sample22.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B10_Sample22.csv
06,20,8817,244,9061,0.973071404922194,0.0017005567829795933,15.408745010578095,15.408745010578095,06_vs_20,round1,20C,d07,16.03.2026,A9,Sample9,s03,round1_20C_d07_16.03.2026_A9_Sample9.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_A9_Sample9.csv
16,56,61253,4819,66072,0.9270644145780361,0.001011616642628543,66.83953481175308,66.83953481175308,16_vs_56,round1,20C,d07,16.03.2026,E6,Sample54,s18,round1_20C_d07_16.03.2026_E6_Sample54.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_E6_Sample54.csv
12,56,72137,5854,77991,0.9249400571860856,0.0009434929606451855,73.58395949367866,73.58395949367866,12_vs_56,round1,20C,d07,16.03.2026,D3,Sample39,s13,round1_20C_d07_16.03.2026_D3_Sample39.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D3_Sample39.csv
12,43,24387,9127,33514,0.7276660500089515,0.0024316654063348247,81.49483442790532,81.49483442790532,12_vs_43,round1,20C,d07,16.03.2026,C12,Sample36,s12,round1_20C_d07_16.03.2026_C12_Sample36.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_C12_Sample36.csv
16,20,82110,12549,94659,0.867429404494026,0.0011021982508115358,104.33298422356917,104.33298422356917,16_vs_20,round1,20C,d07,16.03.2026,D6,Sample42,s14,round1_20C_d07_16.03.2026_D6_Sample42.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_D6_Sample42.csv
06,12,5442,455,5897,0.9228421231134475,0.003474867709656301,20.491294883843207,20.491294883843207,06_vs_12,round1,20C,d07,16.03.2026,A3,Sample3,s01,round1_20C_d07_16.03.2026_A3_Sample3.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_A3_Sample3.csv
12,23,2941,14524,17465,0.16839393071858003,0.0028316381015494113,49.45455944356047,49.45455944356047,12_vs_23,round1,20C,d07,16.03.2026,C6,Sample30,s10,round1_20C_d07_16.03.2026_C6_Sample30.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_C6_Sample30.csv
43,56,35035,35724,70759,0.49513136138159103,0.0018795702888266307,132.99651406708355,132.99651406708355,43_vs_56,round1,20C,d07,16.03.2026,G10,Sample82,s28,round1_20C_d07_16.03.2026_G10_Sample82.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_G10_Sample82.csv
06,56,102,81,183,0.5573770491803278,0.03671689611417049,6.7191919888932,6.7191919888932,06_vs_56,round1,20C,d07,16.03.2026,B7,Sample19,s07,round1_20C_d07_16.03.2026_B7_Sample19.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B7_Sample19.csv
06,56,10758,375,11133,0.966316356777149,0.0017098699906949637,19.035982606407032,19.035982606407032,06_vs_56,round1,20C,d07,16.03.2026,B9,Sample21,s07,round1_20C_d07_16.03.2026_B9_Sample21.csv,../data/round01/round1_20C_d07_16.03.2026/round1_20C_d07_16.03.2026_B9_Sample21.csv
