class_1,class_2,pair_balanced_accuracy,pair_f1,pair_auc,balanced_accuracy_Isolate_A,balanced_accuracy_Isolate_B,AUC_Isolate_A,AUC_Isolate_B,F1_Isolate_A,F1_Isolate_B
06,12,0.9257,0.925699999257,0.97821764,0.9257,0.9257,0.9782176399999999,0.97821764,0.9257074292570743,0.9256925692569257
06,16,0.9695,0.9694990090228031,0.9948802799999998,0.9695,0.9695,0.99488028,0.9948802799999998,0.9693251533742331,0.9696728646713731
06,20,0.9227,0.9226580118080305,0.9783169200000001,0.9227,0.9227,0.97831692,0.9783169200000001,0.9208559434831576,0.9244600801329034
06,23,0.9756,0.975595352378907,0.9944911599999999,0.9756,0.9756,0.9944911599999999,0.99449116,0.975258568241736,0.9759321365160781
06,32,0.9772000000000001,0.9771959052967552,0.99448676,0.9772000000000001,0.9772000000000001,0.99448676,0.99448676,0.9768903304277317,0.9775014801657785
06,43,0.942,0.9419904957228191,0.98450432,0.942,0.942,0.98450432,0.98450432,0.9412479740680713,0.9427330173775671
06,56,0.9363,0.9362858548226292,0.9866558,0.9363,0.9363,0.9866558,0.9866558,0.9353365140594864,0.937235195585772
12,16,0.8747,0.874695928870729,0.9466107199999999,0.8747,0.8747,0.9466107199999999,0.9466107199999999,0.8754101620761658,0.8739816956652922
12,20,0.8359,0.8358759706008556,0.9179556799999999,0.8359,0.8359,0.9179556799999999,0.9179556799999999,0.833890069845126,0.8378618713565853
12,23,0.9457,0.945695889721893,0.98358072,0.9457,0.9457,0.98358072,0.9835807200000001,0.9452234439624735,0.9461683354813126
12,32,0.9702999999999999,0.9702952089142458,0.9914645599999998,0.9702999999999999,0.9702999999999999,0.9914645599999998,0.9914645599999999,0.9699179580674567,0.9706724597610349
12,43,0.7882,0.7881596571251028,0.8812888000000001,0.7882,0.7882,0.8812888000000001,0.8812888,0.7910830538567765,0.7852362603934293
12,56,0.9259,0.9258999103388915,0.9776209599999999,0.9259,0.9259,0.9776209599999999,0.9776209599999999,0.9258184002402643,0.9259814204375187
16,20,0.9359,0.935899983974996,0.9832374799999999,0.9359,0.9359,0.9832374799999999,0.98323748,0.9358679339669835,0.9359320339830085
16,23,0.9479,0.9478996201882312,0.98860424,0.9479,0.9479,0.9886042399999999,0.9886042400000001,0.9480402912137229,0.9477589491627394
16,32,0.9837,0.9836998629158471,0.99812404,0.9837,0.9837,0.9981240400000001,0.99812404,0.9836525925183031,0.9837471333133911
16,43,0.9198,0.9197999967919999,0.97636288,0.9198,0.9198,0.97636288,0.97636288,0.9198160367926415,0.9197839567913583
16,56,0.9568000000000001,0.956799500602227,0.99089668,0.9568000000000001,0.9568000000000001,0.99089668,0.99089668,0.9569463823001794,0.9566526189042746
20,23,0.9805,0.9804999296047459,0.99681632,0.9805,0.9805,0.99681632,0.9968163199999999,0.9804628794709949,0.9805369797384968
20,32,0.9846999999999999,0.9846991393265871,0.9970544800000001,0.9846999999999999,0.9846999999999999,0.9970544800000001,0.99705448,0.9845843828715365,0.9848138957816377
20,43,0.8703000000000001,0.8702993138833705,0.94777136,0.8703000000000001,0.8703000000000001,0.94777136,0.9477713600000001,0.8700010023053022,0.8705976254614387
20,56,0.946,0.9459991359861758,0.9864250000000001,0.946,0.946,0.986425,0.9864250000000001,0.9462151394422311,0.9457831325301205
23,32,0.8396,0.8394705233453095,0.91688808,0.8396,0.8396,0.91688808,0.91688808,0.8349114862083162,0.8440295604823026
23,43,0.9582999999999999,0.9582966966813441,0.9888843599999999,0.9582999999999999,0.9582999999999999,0.98888436,0.9888843599999999,0.9586678560808801,0.9579255372818081
23,56,0.9207,0.9206762591976152,0.9766840800000001,0.9207,0.9207,0.97668408,0.9766840800000001,0.9220485599134965,0.919303958481734
32,43,0.9598,0.9597798191220426,0.98907504,0.9598,0.9598,0.98907504,0.98907504,0.9606807511737089,0.9588788870703764
32,56,0.9379,0.9378543596202487,0.97983596,0.9379,0.9379,0.9798359600000001,0.97983596,0.93953850647454,0.9361702127659575
43,56,0.9194,0.9193999193999194,0.9745490400000001,0.9194,0.9194,0.9745490400000001,0.97454904,0.9194805194805195,0.9193193193193193
