class_1,class_2,pair_balanced_accuracy,pair_f1,pair_auc,balanced_accuracy_Isolate_A,balanced_accuracy_Isolate_B,AUC_Isolate_A,AUC_Isolate_B,F1_Isolate_A,F1_Isolate_B
06,12,0.9206000000000001,0.920593850787805,0.97856272,0.9206000000000001,0.9206000000000001,0.97856272,0.9785627200000001,0.9198950766747377,0.9212926249008723
06,16,0.9697,0.969699912432747,0.99544068,0.9697,0.9697,0.99544068,0.99544068,0.9696484022838826,0.9697514225816113
06,20,0.84,0.839821311061768,0.9214144800000001,0.84,0.84,0.92141448,0.9214144800000001,0.8344713428512311,0.8451712792723051
06,23,0.9624,0.9623849539815926,0.99235948,0.9624,0.9624,0.99235948,0.99235948,0.9616326530612245,0.9631372549019608
06,32,0.9677,0.9676842166482531,0.9926270400000001,0.9677,0.9677,0.99262704,0.9926270400000001,0.9669700378361795,0.9683983954603268
06,43,0.9286,0.928585600000384,0.97890544,0.9286,0.9286,0.9789054400000001,0.9789054399999999,0.9275715155203895,0.9295996844803787
06,56,0.9815,0.9814983302243028,0.9981828000000001,0.9815,0.9815,0.9981828,0.9981828000000001,0.9813225643614336,0.9816740960871718
12,16,0.9022,0.9021683025300198,0.96699644,0.9022,0.9022,0.96699644,0.96699644,0.9039292730844793,0.9004073319755601
12,20,0.958,0.9579991112611943,0.9902498399999999,0.958,0.958,0.9902498399999999,0.99024984,0.9578059071729957,0.9581923153493928
12,23,0.8902,0.8901949226132216,0.9617760400000002,0.8902,0.8902,0.9617760400000002,0.96177604,0.8909415971394518,0.8894482480869915
12,32,0.9260999999999999,0.9260946603392095,0.97969076,0.9260999999999999,0.9260999999999999,0.97969076,0.97969076,0.9254664649520928,0.9267228557263262
12,43,0.891,0.8909933680365114,0.95417388,0.891,0.891,0.9541738800000001,0.9541738799999999,0.8901431163071961,0.8918436197658266
12,56,0.8843000000000001,0.8842403502100598,0.95481816,0.8843000000000001,0.8843000000000001,0.9548181600000001,0.9548181599999999,0.8816126061598281,0.8868680942602913
16,20,0.9641,0.9640999910249977,0.99207124,0.9641,0.9641,0.99207124,0.9920712400000001,0.9641179410294852,0.9640820410205102
16,23,0.9435,0.9434999723149864,0.9880491200000001,0.9435,0.9435,0.98804912,0.9880491200000001,0.943539522334366,0.9434604222956069
16,32,0.9670000000000001,0.9669964303339049,0.99535416,0.9670000000000001,0.9670000000000001,0.9953541600000001,0.9953541599999999,0.9673396674584323,0.9666531932093775
16,43,0.9507,0.9506966034890143,0.9896658399999998,0.9507,0.9507,0.9896658399999998,0.9896658399999999,0.9502873852979732,0.9511058216800555
16,56,0.9711000000000001,0.9710987789234096,0.9957571599999999,0.9711000000000001,0.9711000000000001,0.9957571599999999,0.9957571599999999,0.9709109209864116,0.9712866368604074
20,23,0.9918,0.9917999357114959,0.9993602399999999,0.9918,0.9918,0.99936024,0.9993602399999999,0.9917769755314881,0.9918228958915037
20,32,0.9933000000000001,0.9932999082757443,0.9995876800000001,0.9933000000000001,0.9933000000000001,0.9995876800000001,0.99958768,0.9932751179363646,0.9933246986151241
20,43,0.9004,0.9003769830981749,0.96760212,0.9004,0.9004,0.96760212,0.96760212,0.9018912529550828,0.8988627132412672
20,56,0.9906999999999999,0.990699872681257,0.99891244,0.9906999999999999,0.9906999999999999,0.9989124399999999,0.99891244,0.9906654622101777,0.9907342831523364
23,32,0.8136,0.8135913804654327,0.88864348,0.8136,0.8136,0.88864348,0.8886434799999999,0.8148589590782678,0.8123238018525977
23,43,0.9376,0.9375437894104695,0.9785282000000001,0.9376,0.9376,0.9785282000000001,0.9785282000000001,0.9394174757281554,0.9356701030927835
23,56,0.9681,0.968099999681,0.99459816,0.9681,0.9681,0.99459816,0.99459816,0.9681031896810319,0.9680968096809681
32,43,0.929,0.9287586885803067,0.9562199199999999,0.929,0.929,0.95621992,0.9562199199999999,0.9329049329049329,0.9246124442556806
32,56,0.9659,0.9658999014507152,0.9937775600000001,0.9659,0.9659,0.99377756,0.9937775600000001,0.9658419312831814,0.965957871618249
43,56,0.9289000000000001,0.9288993167224338,0.9779974,0.9289000000000001,0.9289000000000001,0.9779974000000001,0.9779974,0.9286789046042733,0.9291197288405941
